,ElemSymbol,AtNum,Charge,Wavelength,IntIlab,Aki,Ei,Ek,gi,gk,IntAtomtrace,Source
338,Au,79,2,211.07,409.0,,,,,,,Ilab
339,As,33,1,211.3,461.0,,,,,,,Ilab
340,Sn,50,1,211.39,797.0,,,,,,,Ilab
341,Yb,70,2,211.67,782.0,,,,,,,Ilab
342,Sr,38,3,211.85,409.0,,,,,,,Ilab
343,Be,4,1,212.57,161.0,,,,,,,Ilab
344,Au,79,1,212.66,271.0,,,,,,,Ilab
345,Ir,77,2,212.68,841.0,,,,,,,Ilab
346,Sb,51,1,212.74,461.0,,,,,,,Ilab
347,Pt,78,1,212.86,686.0,,,,,,,Ilab
348,Bi,83,1,213.36,782.0,,,,,,,Ilab
349,Bi,83,1,213.43,-100.0,,,,,,,Ilab
350,P,15,1,213.55,599.0,,,,,,,Ilab
351,P,15,1,213.62,599.0,,,,,,,Ilab
352,Zn,30,1,213.86,668.0,,,,,,,Ilab
353,Sb,51,1,213.97,461.0,,,,,,,Ilab
354,Sb,51,2,214.18,230.0,,,,,,,Ilab
355,Te,52,1,214.28,1582.0,,,,,,,Ilab
356,As,33,1,214.41,461.0,,,,,,,Ilab
357,Pt,78,1,214.42,755.0,,,,,,,Ilab
358,Cd,48,2,214.44,691.0,,,,,,,Ilab
359,Sb,51,1,214.49,461.0,,,,,,,Ilab
360,Ta,73,2,214.69,731.0,,,,,,,Ilab
361,Te,52,1,214.72,1215.0,,,,,,,Ilab
362,Hg,80,2,214.8,1141.0,,,,,,,Ilab
363,P,15,1,214.91,599.0,,,,,,,Ilab
364,Sn,50,2,215.08,625.0,,,,,,,Ilab
365,Sn,50,1,215.14,724.0,,,,,,,Ilab
366,Ir,77,2,215.27,816.0,,,,,,,Ilab
367,P,15,1,215.29,563.0,,,,,,,Ilab
368,P,15,1,215.41,621.0,,,,,,,Ilab
369,Ir,77,1,215.8,897.0,,,,,,,Ilab
370,Te,52,1,215.99,1125.0,,,,,,,Ilab
371,At,85,1,216.22,208.0,,,,,,,Ilab
372,Se,34,1,216.42,621.0,,,,,,,Ilab
373,Os,76,1,216.48,-100.0,,,,,,,Ilab
374,As,33,1,216.55,491.0,,,,,,,Ilab
375,Re,75,1,216.79,850.0,,,,,,,Ilab
376,Pt,78,1,217.47,731.0,,,,,,,Ilab
377,Be,4,1,217.51,271.0,,,,,,,Ilab
378,Sb,51,1,217.58,731.0,,,,,,,Ilab
379,Re,75,1,217.62,813.0,,,,,,,Ilab
380,Cu,29,1,217.89,738.0,,,,,,,Ilab
381,Sb,51,1,217.92,552.0,,,,,,,Ilab
382,Ta,73,2,218.27,709.0,,,,,,,Ilab
383,Yb,70,2,218.57,675.0,,,,,,,Ilab
384,Os,76,2,219.44,673.0,,,,,,,Ilab
385,Sn,50,1,219.45,822.0,,,,,,,Ilab
386,Cd,48,2,219.46,691.0,,,,,,,Ilab
387,Lu,71,2,219.55,744.0,,,,,,,Ilab
388,Ta,73,2,219.6,731.0,,,,,,,Ilab
389,Ge,32,1,219.87,583.0,,,,,,,Ilab
390,Sn,50,1,219.93,873.0,,,,,,,Ilab
391,Au,79,2,220.13,322.0,,,,,,,Ilab
392,Sb,51,1,220.13,530.0,,,,,,,Ilab
393,Ir,77,2,220.5,801.0,,,,,,,Ilab
394,Os,76,1,220.63,-100.0,,,,,,,Ilab
395,Te,52,1,220.88,1097.0,,,,,,,Ilab
396,Sn,50,1,220.97,895.0,,,,,,,Ilab
397,Pd,46,2,221.21,391.0,,,,,,,Ilab
398,Re,75,2,221.43,834.0,,,,,,,Ilab
399,Ir,77,2,222.11,667.0,,,,,,,Ilab
400,Yb,70,2,222.45,646.0,,,,,,,Ilab
401,Re,75,1,222.64,744.0,,,,,,,Ilab
402,Cu,29,1,222.78,738.0,,,,,,,Ilab
403,Ta,73,1,222.78,-100.0,,,,,,,Ilab
404,Os,76,1,222.8,640.0,,,,,,,Ilab
405,Bi,83,1,222.82,589.0,,,,,,,Ilab
406,Bi,83,1,223.06,744.0,,,,,,,Ilab
407,Pd,46,2,223.16,461.0,,,,,,,Ilab
408,Tl,81,1,223.78,179.0,,,,,,,Ilab
409,Ta,73,2,223.95,724.0,,,,,,,Ilab
410,Cd,48,1,223.99,-100.0,,,,,,,Ilab
411,Ir,77,2,224.27,782.0,,,,,,,Ilab
412,Y,39,2,224.3,586.0,,,,,,,Ilab
413,At,85,1,224.4,230.0,,,,,,,Ilab
414,Pt,78,2,224.55,461.0,,,,,,,Ilab
415,Ir,77,2,224.58,643.0,,,,,,,Ilab
416,Sn,50,1,224.61,891.0,,,,,,,Ilab
417,Ag,47,2,224.64,1371.0,,,,,,,Ilab
418,Pb,82,1,224.69,300.0,,,,,,,Ilab
419,Ag,47,2,224.87,1304.0,,,,,,,Ilab
420,Ta,73,2,225.08,709.0,,,,,,,Ilab
421,Te,52,1,225.55,1178.0,,,,,,,Ilab
422,Os,76,2,225.58,760.0,,,,,,,Ilab
423,Te,52,1,225.9,1379.0,,,,,,,Ilab
424,Ta,73,2,226.14,673.0,,,,,,,Ilab
425,Os,76,1,226.17,-100.0,,,,,,,Ilab
426,Ta,73,2,226.23,690.0,,,,,,,Ilab
427,Cd,48,2,226.5,691.0,,,,,,,Ilab
428,Te,52,1,226.55,1185.0,,,,,,,Ilab
429,Cd,48,1,226.75,-100.0,,,,,,,Ilab
430,Sn,50,1,226.89,896.0,,,,,,,Ilab
431,Ni,28,2,227.02,760.0,,,,,,,Ilab
432,W,74,2,227.02,470.0,,,,,,,Ilab
433,Ta,73,2,227.26,690.0,,,,,,,Ilab
434,Sc,21,2,227.31,240.0,,,,,,,Ilab
435,Re,75,1,227.46,765.0,,,,,,,Ilab
436,Re,75,2,227.52,856.0,,,,,,,Ilab
437,Bi,83,1,227.66,583.0,,,,,,,Ilab
438,Hf,72,2,227.72,643.0,,,,,,,Ilab
439,Ni,28,2,227.88,668.0,,,,,,,Ilab
440,Re,75,1,228.16,738.0,,,,,,,Ilab
441,Os,76,2,228.23,724.0,,,,,,,Ilab
442,Sn,50,1,228.67,846.0,,,,,,,Ilab
443,Re,75,1,228.75,797.0,,,,,,,Ilab
444,Cd,48,1,228.8,731.0,,,,,,,Ilab
445,As,33,1,228.81,586.0,,,,,,,Ilab
446,Pt,78,2,228.82,340.0,,,,,,,Ilab
447,Ta,73,2,228.92,690.0,,,,,,,Ilab
448,Rh,45,1,229.0,-100.0,,,,,,,Ilab
449,Cu,29,1,229.38,391.0,,,,,,,Ilab
450,Ga,31,1,229.42,69.0,,,,,,,Ilab
451,Re,75,1,229.45,790.0,,,,,,,Ilab
452,Pd,46,2,229.65,530.0,,,,,,,Ilab
453,Ta,73,2,230.29,609.0,,,,,,,Ilab
454,Ni,28,2,230.3,691.0,,,,,,,Ilab
455,W,74,2,230.38,510.0,,,,,,,Ilab
456,Ir,77,1,230.42,790.0,,,,,,,Ilab
457,Ba,56,2,230.42,812.0,,,,,,,Ilab
458,In,49,2,230.61,985.0,,,,,,,Ilab
459,Cd,48,1,230.66,-100.0,,,,,,,Ilab
460,Sb,51,1,231.15,782.0,,,,,,,Ilab
461,Cd,48,2,231.28,691.0,,,,,,,Ilab
462,Os,76,2,231.38,525.0,,,,,,,Ilab
463,Tl,81,1,231.6,494.0,,,,,,,Ilab
464,Ni,28,2,231.6,691.0,,,,,,,Ilab
465,Ag,47,2,231.7,1274.0,,,,,,,Ilab
466,Sn,50,1,231.72,919.0,,,,,,,Ilab
467,Ag,47,2,232.02,1350.0,,,,,,,Ilab
468,Yb,70,2,232.08,494.0,,,,,,,Ilab
469,Cd,48,2,232.11,530.0,,,,,,,Ilab
470,Hf,72,2,232.25,636.0,,,,,,,Ilab
471,Ag,47,2,232.47,1239.0,,,,,,,Ilab
472,Ni,28,1,232.58,724.0,,,,,,,Ilab
473,W,74,2,232.61,555.0,,,,,,,Ilab
474,Ta,73,2,233.2,654.0,,,,,,,Ilab
475,Rh,45,2,233.48,525.0,,,,,,,Ilab
476,Sn,50,1,233.48,875.0,,,,,,,Ilab
477,Ru,44,2,233.5,479.0,,,,,,,Ilab
478,Ba,56,2,233.53,837.0,,,,,,,Ilab
479,Pd,46,1,233.64,-100.0,,,,,,,Ilab
480,Os,76,2,233.68,658.0,,,,,,,Ilab
481,Ga,31,1,233.82,110.0,,,,,,,Ilab
482,As,33,1,234.4,356.0,,,,,,,Ilab
483,Ba,56,2,234.76,623.0,,,,,,,Ilab
484,Be,4,1,234.86,369.0,,,,,,,Ilab
485,As,33,1,234.98,586.0,,,,,,,Ilab
486,Be,4,1,235.07,240.0,,,,,,,Ilab
487,Pd,46,2,235.13,391.0,,,,,,,Ilab
488,Au,79,1,235.26,-100.0,,,,,,,Ilab
489,Sn,50,1,235.48,974.0,,,,,,,Ilab
490,Os,76,2,236.74,621.0,,,,,,,Ilab
491,Pd,46,2,236.8,432.0,,,,,,,Ilab
492,Ir,77,2,236.8,591.0,,,,,,,Ilab
493,Ga,31,1,237.13,110.0,,,,,,,Ilab
494,Tl,81,1,237.97,680.0,,,,,,,Ilab
495,As,33,1,238.12,491.0,,,,,,,Ilab
