,ElemSymbol,AtNum,Charge,Wavelength
0,Xe,54,2,103.77
1,Xe,54,2,104.13
2,Ar,18,1,104.82
3,Xe,54,2,104.83
4,Xe,54,2,105.19
5,Cl,17,2,106.38
6,Ar,18,1,106.67
7,Cl,17,2,106.79
8,Cl,17,2,107.1
9,Cl,17,2,107.18
10,Xe,54,2,107.45
11,Cl,17,2,107.52
12,Cl,17,2,107.91
13,Xe,54,2,110.04
14,Kr,36,1,116.49
15,Xe,54,2,118.31
16,N,7,1,119.96
17,N,7,1,120.02
18,N,7,1,120.07
19,H,1,1,121.57
20,Kr,36,1,123.58
21,N,7,1,124.32
22,S,16,2,125.06
23,S,16,2,125.38
24,S,16,2,125.95
25,C,6,1,127.72
26,C,6,1,127.73
27,C,6,1,127.76
28,C,6,1,128.03
29,O,8,1,130.22
30,O,8,1,130.49
31,O,8,1,130.6
32,Cl,17,1,134.72
33,Cl,17,1,135.17
34,B,5,2,136.25
35,Cl,17,1,136.34
36,Cl,17,1,137.95
37,Cl,17,1,138.97
38,Cl,17,1,139.0
39,Cl,17,1,139.65
40,S,16,1,142.5
41,S,16,1,143.33
42,S,16,1,147.4
43,S,16,1,148.3
44,N,7,1,149.26
45,C,6,1,156.07
46,C,6,1,156.14
47,B,5,2,162.36
48,B,5,2,162.38
49,B,5,2,162.4
50,B,5,2,162.44
51,C,6,1,165.63
52,C,6,1,165.69
53,C,6,1,165.7
54,C,6,1,165.74
55,C,6,1,165.79
56,C,6,1,165.81
57,S,16,1,166.67
58,Al,13,2,167.08
59,P,15,1,167.11
60,Se,34,1,167.12
61,Pb,82,2,167.15
62,P,15,1,167.25
63,P,15,1,167.46
64,Sc,21,2,167.52
65,P,15,1,167.97
66,Pb,82,2,168.22
67,P,15,1,168.6
68,Re,75,1,168.69
69,S,16,1,168.75
70,Se,34,1,169.07
71,P,15,1,169.4
72,Ba,56,2,169.44
73,Si,14,1,169.79
74,Au,79,1,169.93
75,Sn,50,2,169.94
76,Te,52,1,169.99
77,Re,75,1,171.29
78,Fe,26,2,171.9
79,Al,13,2,171.94
80,Al,13,2,172.13
81,Al,13,2,172.5
82,Pb,82,2,172.68
83,Mg,12,2,173.48
84,Sb,51,1,173.62
85,Mg,12,2,173.76
86,Au,79,2,174.05
87,N,7,1,174.27
88,Mg,12,1,174.78
89,Te,52,1,175.1
90,C,6,1,175.18
91,Mg,12,2,175.35
92,Sn,50,2,175.79
93,As,33,1,175.86
94,Te,52,1,175.92
95,Al,13,2,176.2
96,Sb,51,3,176.23
97,Al,13,1,176.29
98,C,6,1,176.39
99,Al,13,2,176.4
100,C,6,1,176.54
101,Al,13,1,176.56
102,Al,13,1,176.64
103,Bi,83,1,176.77
104,Al,13,2,176.77
105,Al,13,1,176.91
106,Sr,38,2,176.96
107,In,49,2,177.06
108,In,49,2,177.48
109,P,15,1,177.5
110,Be,4,2,177.61
111,Be,4,2,177.63
112,Bi,83,2,177.7
113,Pt,78,2,177.71
114,Sr,38,2,177.84
115,Sb,51,1,178.09
116,Pt,78,2,178.19
117,S,16,1,178.23
118,I,53,1,178.28
119,P,15,1,178.28
120,Au,79,2,178.32
121,Bi,83,2,178.74
122,P,15,1,178.77
123,Bi,83,2,179.18
124,Au,79,2,179.33
125,Se,34,1,179.53
126,Te,52,1,179.63
127,Pb,82,2,179.67
128,I,53,1,179.91
129,Ga,31,2,179.93
130,Sb,51,1,180.02
131,Au,79,2,180.06
132,As,33,1,180.62
133,S,16,1,180.73
134,Ca,20,2,180.73
135,Sb,51,1,181.05
136,Sn,50,2,181.12
137,Ga,31,2,181.39
138,Sb,51,1,181.42
139,Ca,20,2,181.45
140,Si,14,2,181.69
141,B,5,1,181.78
142,B,5,1,181.83
143,S,16,1,182.03
144,Pb,82,2,182.2
145,Te,52,1,182.24
146,Bi,83,2,182.37
147,B,5,1,182.59
148,S,16,1,182.62
149,B,5,1,182.64
150,Mg,12,1,182.79
151,I,53,1,183.04
152,Sn,50,2,183.18
153,Ir,77,1,183.25
154,P,15,1,183.48
155,Ca,20,2,183.8
156,Ca,20,2,184.01
157,Si,14,1,184.14
158,B,5,2,184.28
159,Ca,20,2,184.31
160,Ru,44,1,184.41
161,I,53,1,184.44
162,Ga,31,2,184.52
163,Si,14,1,184.55
164,P,15,1,184.72
165,Si,14,1,184.75
166,Si,14,1,184.81
167,Hg,80,1,184.95
168,Te,52,1,185.05
169,Si,14,1,185.07
170,Ca,20,2,185.07
171,P,15,1,185.12
172,Te,52,1,185.2
173,P,15,1,185.21
174,Si,14,1,185.25
175,Bi,83,1,185.26
176,Te,52,1,185.37
177,Se,34,1,185.52
178,Al,13,2,185.59
179,Au,79,1,185.72
180,Te,52,1,185.73
181,Al,13,2,185.8
182,Re,75,1,185.87
183,Se,34,1,185.88
184,P,15,1,185.89
185,P,15,1,185.94
186,As,33,2,186.03
187,Te,52,1,186.05
188,Al,13,2,186.23
189,Ir,77,1,186.25
190,Sb,51,1,187.12
191,Ru,44,2,187.56
192,Au,79,1,187.98
193,Sb,51,1,188.26
194,Ru,44,2,188.8
195,As,33,1,189.04
196,Os,76,1,189.44
197,Re,75,1,189.84
198,Se,34,1,189.86
199,Os,76,1,189.86
200,Sn,50,2,189.99
201,S,16,1,190.03
202,Si,14,1,190.13
203,Bi,83,2,190.23
204,Ru,44,2,190.32
205,Ge,32,1,190.47
206,Pb,82,1,190.48
207,Re,75,1,190.57
208,Ti,22,2,190.62
209,P,15,1,190.77
210,Ti,22,2,190.82
211,Tl,81,2,190.86
212,Pt,78,2,191.17
213,As,33,2,191.29
214,Ir,77,1,191.32
215,Se,34,1,191.38
216,S,16,5,191.41
217,Ne,10,2,191.61
218,Ru,44,2,191.68
219,Ge,32,1,191.76
220,Se,34,1,191.92
221,Au,79,1,191.96
222,Ir,77,1,192.16
223,Ba,56,2,192.47
224,Os,76,1,192.5
225,Sb,51,1,192.71
226,Ru,44,1,192.76
227,Ge,32,1,192.98
228,Ne,10,2,193.0
229,C,6,1,193.09
230,Pd,46,1,193.23
231,Pt,78,1,193.42
232,In,49,2,193.62
233,As,33,1,193.76
234,Hg,80,2,194.23
235,Ge,32,1,194.47
236,Ir,77,1,194.81
237,Sb,51,1,195.04
238,W,74,2,195.11
239,Au,79,1,195.19
240,Bi,83,1,195.47
241,Os,76,1,195.5
242,Ge,32,1,195.51
243,Bi,83,1,196.0
244,Se,34,1,196.09
245,Ge,32,1,196.2
246,Sr,38,2,196.44
247,Be,4,1,196.46
248,In,49,2,196.67
249,Ge,32,1,197.09
250,Pb,82,1,197.24
251,As,33,1,197.26
252,Re,75,1,197.31
253,In,49,1,197.74
254,Au,79,1,197.82
255,Si,14,1,197.92
256,Pt,78,1,197.98
257,Si,14,1,198.06
258,Os,76,1,198.22
259,Si,14,1,198.32
260,Os,76,1,198.56
261,Si,14,1,198.64
262,Ir,77,1,198.8
263,Ge,32,1,198.83
264,Si,14,1,198.9
265,As,33,1,199.04
266,As,33,1,199.11
267,Au,79,1,199.19
268,Co,27,3,199.36
269,Te,52,1,199.48
270,Sr,38,2,199.5
271,Se,34,1,199.51
272,As,33,1,199.54
273,Be,4,1,199.8
274,Ge,32,1,199.89
275,Cu,29,1,199.95
276,Au,79,2,200.08
277,Te,52,1,200.2
278,As,33,1,200.33
279,As,33,1,200.92
280,Au,79,1,201.2
281,As,33,1,201.33
282,Ge,32,1,201.91
283,Bi,83,3,202.12
284,Au,79,1,202.14
285,P,15,1,202.35
286,Re,75,1,202.37
287,P,15,1,202.45
288,Zn,30,2,202.55
289,Mg,12,1,202.58
290,Pt,78,1,203.06
291,P,15,1,203.24
292,Be,4,1,203.26
293,P,15,1,203.35
294,Ir,77,1,203.36
295,Pt,78,2,203.65
296,Sb,51,1,203.98
297,Se,34,1,203.98
298,Ge,32,1,204.17
299,Ge,32,1,204.38
300,Ir,77,1,204.42
301,Au,79,2,204.45
302,Os,76,1,204.54
303,Os,76,1,204.88
304,Re,75,1,204.91
305,Pt,78,1,204.94
306,Sb,51,1,204.96
307,Ir,77,1,205.12
308,Ge,32,1,205.45
309,Be,4,1,205.6
310,Ge,32,1,205.72
311,I,53,1,206.16
312,Bi,83,1,206.16
313,Zn,30,2,206.2
314,Se,34,1,206.28
315,Ge,32,1,206.52
316,Os,76,2,206.72
317,Sb,51,1,206.83
318,Ge,32,1,206.87
319,Os,76,2,207.07
320,Te,52,1,207.11
321,Se,34,1,207.48
322,In,49,2,207.86
323,Te,52,1,208.12
324,Au,79,2,208.21
325,Re,75,1,208.37
326,Ir,77,1,208.88
327,B,5,1,208.89
328,B,5,1,208.96
329,Sn,50,1,209.16
330,Re,75,2,209.24
331,Ir,77,1,209.26
332,Ge,32,1,209.43
333,Sb,51,1,209.84
334,Pt,78,1,210.33
335,Ge,32,1,210.58
336,Ru,44,1,210.73
337,Bi,83,1,211.02
338,Au,79,2,211.07
339,As,33,1,211.3
340,Sn,50,1,211.39
341,Yb,70,2,211.67
342,Sr,38,3,211.85
343,Be,4,1,212.57
344,Au,79,1,212.66
345,Ir,77,2,212.68
346,Sb,51,1,212.74
347,Pt,78,1,212.86
348,Bi,83,1,213.36
349,Bi,83,1,213.43
350,P,15,1,213.55
351,P,15,1,213.62
352,Zn,30,1,213.86
353,Sb,51,1,213.97
354,Sb,51,2,214.18
355,Te,52,1,214.28
356,As,33,1,214.41
357,Pt,78,1,214.42
358,Cd,48,2,214.44
359,Sb,51,1,214.49
360,Ta,73,2,214.69
361,Te,52,1,214.72
362,Hg,80,2,214.8
363,P,15,1,214.91
364,Sn,50,2,215.08
365,Sn,50,1,215.14
366,Ir,77,2,215.27
367,P,15,1,215.29
368,P,15,1,215.41
369,Ir,77,1,215.8
370,Te,52,1,215.99
371,At,85,1,216.22
372,Se,34,1,216.42
373,Os,76,1,216.48
374,As,33,1,216.55
375,Re,75,1,216.79
376,Pt,78,1,217.47
377,Be,4,1,217.51
378,Sb,51,1,217.58
379,Re,75,1,217.62
380,Cu,29,1,217.89
381,Sb,51,1,217.92
382,Ta,73,2,218.27
383,Yb,70,2,218.57
384,Os,76,2,219.44
385,Sn,50,1,219.45
386,Cd,48,2,219.46
387,Lu,71,2,219.55
388,Ta,73,2,219.6
389,Ge,32,1,219.87
390,Sn,50,1,219.93
391,Au,79,2,220.13
392,Sb,51,1,220.13
393,Ir,77,2,220.5
394,Os,76,1,220.63
395,Te,52,1,220.88
396,Sn,50,1,220.97
397,Pd,46,2,221.21
398,Re,75,2,221.43
399,Ir,77,2,222.11
400,Yb,70,2,222.45
401,Re,75,1,222.64
402,Cu,29,1,222.78
403,Ta,73,1,222.78
404,Os,76,1,222.8
405,Bi,83,1,222.82
406,Bi,83,1,223.06
407,Pd,46,2,223.16
408,Tl,81,1,223.78
409,Ta,73,2,223.95
410,Cd,48,1,223.99
411,Ir,77,2,224.27
412,Y,39,2,224.3
413,At,85,1,224.4
414,Pt,78,2,224.55
415,Ir,77,2,224.58
416,Sn,50,1,224.61
417,Ag,47,2,224.64
418,Pb,82,1,224.69
419,Ag,47,2,224.87
420,Ta,73,2,225.08
421,Te,52,1,225.55
422,Os,76,2,225.58
423,Te,52,1,225.9
424,Ta,73,2,226.14
425,Os,76,1,226.17
426,Ta,73,2,226.23
427,Cd,48,2,226.5
428,Te,52,1,226.55
429,Cd,48,1,226.75
430,Sn,50,1,226.89
431,Ni,28,2,227.02
432,W,74,2,227.02
433,Ta,73,2,227.26
434,Sc,21,2,227.31
435,Re,75,1,227.46
436,Re,75,2,227.52
437,Bi,83,1,227.66
438,Hf,72,2,227.72
439,Ni,28,2,227.88
440,Re,75,1,228.16
441,Os,76,2,228.23
442,Sn,50,1,228.67
443,Re,75,1,228.75
444,Cd,48,1,228.8
445,As,33,1,228.81
446,Pt,78,2,228.82
447,Ta,73,2,228.92
448,Rh,45,1,229.0
449,Cu,29,1,229.38
450,Ga,31,1,229.42
451,Re,75,1,229.45
452,Pd,46,2,229.65
453,Ta,73,2,230.29
454,Ni,28,2,230.3
455,W,74,2,230.38
456,Ir,77,1,230.42
457,Ba,56,2,230.42
458,In,49,2,230.61
459,Cd,48,1,230.66
460,Sb,51,1,231.15
461,Cd,48,2,231.28
462,Os,76,2,231.38
463,Tl,81,1,231.6
464,Ni,28,2,231.6
465,Ag,47,2,231.7
466,Sn,50,1,231.72
467,Ag,47,2,232.02
468,Yb,70,2,232.08
469,Cd,48,2,232.11
470,Hf,72,2,232.25
471,Ag,47,2,232.47
472,Ni,28,1,232.58
473,W,74,2,232.61
474,Ta,73,2,233.2
475,Rh,45,2,233.48
476,Sn,50,1,233.48
477,Ru,44,2,233.5
478,Ba,56,2,233.53
479,Pd,46,1,233.64
480,Os,76,2,233.68
481,Ga,31,1,233.82
482,As,33,1,234.4
483,Ba,56,2,234.76
484,Be,4,1,234.86
485,As,33,1,234.98
486,Be,4,1,235.07
487,Pd,46,2,235.13
488,Au,79,1,235.26
489,Sn,50,1,235.48
490,Os,76,2,236.74
491,Pd,46,2,236.8
492,Ir,77,2,236.8
493,Ga,31,1,237.13
494,Tl,81,1,237.97
495,As,33,1,238.12
496,Fe,26,2,238.2
497,Te,52,1,238.33
498,Te,52,1,238.58
499,Ta,73,2,238.71
500,Lu,71,2,239.22
501,Pb,82,1,239.38
502,Fe,26,2,239.56
503,Fe,26,2,239.92
504,Ta,73,2,240.06
505,Bi,83,1,240.09
506,Pb,82,1,240.19
507,Ru,44,2,240.27
508,Fe,26,2,240.49
509,Fe,26,2,240.67
510,Fe,26,2,241.05
511,Ag,47,2,241.32
512,Co,27,2,241.41
513,Rh,45,2,241.58
514,Co,27,2,241.62
515,Ge,32,1,241.74
516,Co,27,2,241.77
517,Ga,31,1,241.87
518,Rh,45,2,242.1
519,Sn,50,1,242.17
520,Y,39,2,242.22
521,Li,3,1,242.54
522,Rh,45,2,242.71
523,Au,79,1,242.8
524,Sn,50,1,242.95
525,Si,14,1,243.52
526,Ag,47,2,243.78
527,Pt,78,1,244.01
528,Pb,82,1,244.38
529,Pb,82,1,244.62
530,Pd,46,1,244.79
531,Ga,31,1,245.01
532,Po,84,1,245.01
533,Ru,44,2,245.55
534,Ru,44,2,245.64
535,As,33,1,245.65
536,Ru,44,2,245.66
537,Hf,72,2,246.05
538,Rh,45,2,246.1
539,Hf,72,2,246.42
540,W,74,2,246.65
541,Li,3,1,247.51
542,Rh,45,2,247.56
543,Pb,82,1,247.64
544,C,6,1,247.86
545,Po,84,1,248.39
546,Os,76,2,248.62
547,Pd,46,2,248.65
548,Pt,78,1,248.72
549,Os,76,1,248.86
550,Ta,73,2,248.87
551,W,74,2,248.88
552,Pd,46,2,248.89
553,W,74,2,248.92
554,Po,84,1,249.05
555,Rh,45,2,249.08
556,As,33,1,249.29
557,Be,4,1,249.46
558,Be,4,1,249.47
559,B,5,1,249.68
560,Tc,43,2,249.68
561,B,5,1,249.77
562,Ge,32,1,249.8
563,Ga,31,1,250.02
564,Ga,31,1,250.07
565,Zn,30,2,250.2
566,Ir,77,1,250.3
567,Rh,45,2,250.51
568,Si,14,1,250.69
569,Hf,72,2,251.27
570,Hf,72,2,251.3
571,Si,14,1,251.43
572,Si,14,1,251.61
573,Hf,72,2,251.69
574,Si,14,1,251.92
575,Rh,45,2,252.05
576,In,49,1,252.14
577,Si,14,1,252.41
578,Ba,56,2,252.84
579,Si,14,1,252.85
580,Sb,51,1,252.85
581,Te,52,1,253.07
582,Ta,73,2,253.21
583,Ge,32,1,253.32
584,P,15,1,253.4
585,P,15,1,253.56
586,Hg,80,1,253.65
587,Fe,26,1,253.72
588,Os,76,2,253.8
589,Yb,70,2,253.87
590,Tc,43,2,254.32
591,Ir,77,1,254.4
592,Sn,50,1,254.65
593,Sc,21,2,255.24
594,P,15,1,255.33
595,Ta,73,2,255.46
596,W,74,2,255.51
597,Zn,30,2,255.8
598,Po,84,1,255.8
599,In,49,1,256.02
600,Sc,21,2,256.02
601,Pd,46,2,256.55
602,Th,90,1,256.56
603,Al,13,1,256.8
604,Re,75,2,256.86
605,Zr,40,2,256.89
606,Zr,40,2,257.14
607,W,74,2,257.14
608,Sn,50,1,257.16
609,Hf,72,2,257.17
610,Cd,48,2,257.29
611,Al,13,1,257.51
612,Al,13,1,257.54
613,Mn,25,2,257.61
614,Pb,82,1,257.73
615,Lu,71,2,257.88
616,Tl,81,1,258.01
617,Fe,26,2,258.59
618,Ge,32,1,259.25
619,Ta,73,2,259.37
620,Mn,25,2,259.37
621,Ta,73,2,259.42
622,Ta,73,2,259.64
623,Sb,51,1,259.8
624,Fe,26,2,259.84
625,Fe,26,2,259.94
626,In,49,1,260.18
627,Ta,73,2,260.35
628,Mn,25,2,260.57
629,Hf,72,2,260.7
630,Fe,26,2,260.71
631,Re,75,2,260.85
632,Tc,43,2,261.0
633,La,57,2,261.03
634,Fe,26,2,261.19
635,Lu,71,2,261.34
636,Fe,26,2,261.38
637,Pb,82,1,261.42
638,Lu,71,2,261.54
639,Fe,26,2,261.76
640,Cu,29,1,261.84
641,Lu,71,2,261.93
642,Mn,25,2,262.56
643,Fe,26,2,262.57
644,Bi,83,1,262.79
645,Pt,78,1,262.8
646,Fe,26,2,263.1
647,Si,14,1,263.13
648,Fe,26,2,263.13
649,Ga,31,1,263.25
650,Ba,56,2,263.48
651,Tc,43,2,263.49
652,U,92,2,263.55
653,Hf,72,2,263.87
654,Eu,63,2,263.88
655,Ir,77,1,263.97
656,Hf,72,2,264.14
657,Au,79,1,264.15
658,Pt,78,1,264.69
659,Tc,43,2,264.7
660,Be,4,1,265.06
661,Pt,78,1,265.09
662,Ge,32,1,265.12
663,Ta,73,2,265.12
664,Ge,32,1,265.16
665,Al,13,1,265.25
666,Mo,42,2,265.33
667,Yb,70,2,265.38
668,Lu,71,2,265.78
669,W,74,4,265.8
670,Pt,78,1,265.94
671,Ga,31,1,265.99
672,Al,13,1,266.04
673,Mo,42,2,266.06
674,Ru,44,2,266.16
675,Pb,82,1,266.32
676,Ir,77,1,266.48
677,Eu,63,2,266.83
678,Yb,70,2,267.27
679,Mo,42,2,267.28
680,Ta,73,2,267.59
681,Au,79,1,267.6
682,Cr,24,2,267.72
683,Zr,40,2,267.86
684,Ru,44,2,267.88
685,Cr,24,2,267.88
686,Mo,42,2,268.32
687,Mo,42,2,268.41
688,Ta,73,2,268.52
689,V,23,2,268.8
690,Mo,42,2,268.8
691,Au,79,1,268.87
692,Ge,32,1,269.13
693,Eu,63,2,269.2
694,Ru,44,2,269.21
695,Th,90,1,269.24
696,Ir,77,1,269.42
697,Ta,73,2,269.45
698,Bi,83,1,269.68
699,W,74,2,269.77
700,Mo,42,1,270.1
701,Mo,42,2,270.14
702,Lu,71,2,270.17
703,Mo,42,2,270.19
704,Pt,78,1,270.24
705,Pt,78,1,270.59
706,Sn,50,1,270.65
707,Ge,32,1,270.96
708,In,49,1,271.03
709,Ru,44,2,271.24
710,In,49,1,271.39
711,Eu,63,2,271.7
712,Pt,78,1,271.9
713,Ga,31,1,271.97
714,Nb,41,2,272.2
715,Zr,40,2,272.26
716,Ta,73,2,272.74
717,Eu,63,2,272.78
718,Re,75,2,273.3
719,Pt,78,1,273.4
720,Ru,44,2,273.43
721,Zr,40,2,273.49
722,Be,4,1,273.8
723,Fe,26,2,273.95
724,Zr,40,2,274.26
725,Fe,26,2,274.32
726,As,33,1,274.5
727,Fe,26,2,274.65
728,Fe,26,2,274.7
729,Th,90,1,274.72
730,Au,79,1,274.82
731,Cd,48,2,274.85
732,Fe,26,2,274.93
733,Yb,70,2,275.05
734,Th,90,2,275.22
735,In,49,1,275.39
736,Lu,71,2,275.42
737,Ge,32,1,275.46
738,Fe,26,2,275.57
739,Ta,73,2,276.17
740,Po,84,1,276.19
741,Cr,24,1,276.26
742,Pd,46,1,276.31
743,W,74,2,276.43
744,Cu,29,1,276.64
745,Cr,24,2,276.65
746,Tl,81,1,276.79
747,Th,90,2,276.88
748,Sb,51,1,277.0
749,Hf,72,2,277.34
750,Mo,42,2,277.54
751,Mg,12,1,277.67
752,Mg,12,1,277.83
753,Mg,12,1,277.98
754,Mo,42,2,278.0
755,As,33,1,278.02
756,Mg,12,1,278.14
757,Mg,12,1,278.3
758,Mg,12,2,279.08
759,Mn,25,1,279.48
760,Mg,12,2,279.55
761,Lu,71,2,279.66
762,Ta,73,2,279.78
763,Mg,12,2,279.8
764,Mn,25,1,279.83
765,Pb,82,1,280.2
766,Mg,12,2,280.27
767,Eu,63,2,280.28
768,Bi,83,1,280.96
769,Tc,43,2,281.16
770,Eu,63,2,281.39
771,Mo,42,2,281.62
772,Al,13,2,281.62
773,Hf,72,2,282.02
774,Eu,63,2,282.08
775,Pb,82,1,282.32
776,Cu,29,1,282.44
777,Pt,78,1,283.03
778,Th,90,2,283.23
779,Pb,82,1,283.31
780,Cr,24,2,283.56
781,Cd,48,1,283.69
782,Th,90,2,283.73
783,Os,76,1,283.86
784,Sn,50,1,284.0
785,Cr,24,2,284.32
786,Yb,70,2,284.72
787,Lu,71,2,284.75
788,Mo,42,2,284.82
789,Ir,77,1,284.97
790,Cr,24,2,284.98
791,Yb,70,2,285.11
792,Th,90,2,285.13
793,Mg,12,1,285.21
794,Mo,42,2,285.32
795,Tc,43,1,285.91
796,As,33,1,286.04
797,Cr,24,2,286.09
798,Hf,72,2,286.1
799,Hf,72,2,286.17
800,Cr,24,2,286.26
801,Sn,50,1,286.33
802,Cr,24,2,286.51
803,Cr,24,2,286.67
804,Cr,24,2,286.76
805,Tm,69,2,286.92
806,Th,90,2,287.04
807,Pb,82,1,287.33
808,Ga,31,1,287.42
809,Nb,41,2,287.54
810,Sb,51,1,287.79
811,Cd,48,1,288.08
812,Si,14,1,288.16
813,Th,90,2,288.5
814,Mn,25,2,288.96
815,Mo,42,2,289.1
816,Mo,42,2,289.13
817,Yb,70,2,289.14
818,Au,79,1,289.2
819,Lu,71,2,289.48
820,Bi,83,1,289.8
821,Be,4,1,289.83
822,V,23,2,290.65
823,Eu,63,2,290.67
824,V,23,2,290.88
825,Os,76,1,290.91
826,Er,68,2,291.04
827,Nb,41,2,291.06
828,Lu,71,2,291.14
829,Nb,41,2,291.17
830,Mo,42,2,291.19
831,Tl,81,1,291.83
832,Mo,42,2,292.34
833,V,23,1,292.36
834,V,23,2,292.4
835,V,23,2,292.46
836,Ir,77,1,292.48
837,Nb,41,2,292.78
838,Mg,12,2,292.86
839,Hf,72,2,292.96
840,Pt,78,1,292.98
841,Mo,42,2,293.05
842,V,23,2,293.08
843,In,49,1,293.26
844,Mn,25,2,293.31
845,Pu,94,2,293.33
846,Mg,12,2,293.65
847,Hf,72,2,293.78
848,Bi,83,1,293.83
849,Mn,25,2,293.93
850,V,23,2,294.14
851,Nb,41,2,294.15
852,U,92,2,294.19
853,Th,90,2,294.29
854,Ga,31,1,294.36
855,Ga,31,1,294.42
856,V,23,2,294.46
857,Mn,25,2,294.92
858,Pu,94,2,295.01
859,Nb,41,2,295.09
860,Lu,71,2,295.17
861,U,92,2,295.61
862,Po,84,1,295.89
863,Cu,29,1,296.12
864,Lu,71,2,296.33
865,Er,68,2,296.45
866,Ta,73,2,296.51
867,Pu,94,2,296.68
868,Hg,80,1,296.73
869,Lu,71,2,296.98
870,Yb,70,2,297.06
871,Pu,94,2,297.25
872,Nb,41,2,297.41
873,Hf,72,2,297.59
874,Ru,44,2,297.66
875,Pu,94,2,298.02
876,Cd,48,1,298.06
877,Yb,70,2,298.4
878,Be,4,1,298.61
879,Be,4,1,298.64
880,Si,14,1,298.76
881,Th,90,2,298.82
882,Bi,83,1,298.9
883,C,6,2,299.26
884,Bi,83,1,299.33
885,Pu,94,2,299.64
886,Pt,78,1,299.8
887,Re,75,1,299.96
888,Er,68,2,300.24
889,Ni,28,1,300.25
890,Po,84,1,300.32
891,Ni,28,1,300.36
892,Yb,70,2,300.58
893,Sn,50,1,300.91
894,Gd,64,2,301.01
895,Ni,28,1,301.2
896,Hf,72,2,301.29
897,Tm,69,2,301.53
898,Os,76,1,301.8
899,Be,4,1,301.95
900,Lu,71,2,302.05
901,Cr,24,1,302.44
902,Bi,83,1,302.46
903,Ne,10,2,302.7
904,Nb,41,2,302.84
905,Pu,94,2,302.88
906,Ne,10,2,302.89
907,Au,79,1,302.92
908,Yb,70,2,303.11
909,Hf,72,2,303.12
910,Gd,64,2,303.28
911,Gd,64,2,303.4
912,Sn,50,1,303.41
913,Ge,32,1,303.91
914,In,49,1,303.93
915,Ta,73,2,304.21
916,Pt,78,1,304.26
917,Ac,89,2,304.33
918,Al,13,1,305.01
919,Ni,28,1,305.08
920,Al,13,1,305.47
921,Lu,71,2,305.67
922,Al,13,1,305.71
923,Os,76,1,305.87
924,Al,13,1,306.43
925,Pt,78,1,306.47
926,Al,13,1,306.61
927,Bi,83,1,306.77
928,Pm,61,2,307.24
929,Lu,71,2,307.76
930,Th,90,2,307.88
931,Al,13,1,308.22
932,Ho,67,2,308.44
933,Al,13,1,309.27
934,Al,13,1,309.28
935,Mg,12,1,309.3
936,V,23,2,309.31
937,Nb,41,2,309.42
938,Gd,64,2,310.05
939,Th,90,2,310.83
940,Hf,72,2,310.91
941,V,23,2,311.07
942,U,92,2,311.16
943,Pd,46,1,311.4
944,V,23,2,311.84
945,Ho,67,2,311.85
946,Cr,24,2,311.86
947,Cr,24,2,312.04
948,V,23,2,312.53
949,Be,4,2,313.04
950,Nb,41,2,313.08
951,Be,4,2,313.11
952,Tm,69,2,313.13
953,Tm,69,2,313.39
954,Ne,10,2,314.13
955,U,92,2,314.92
956,Ac,89,2,315.31
957,Ac,89,2,315.44
958,Ca,20,2,315.89
959,Pu,94,2,315.92
960,Nb,41,2,316.34
961,Zr,40,2,316.6
962,Mo,42,1,317.03
963,Tc,43,1,317.33
964,Pu,94,2,317.45
965,Sn,50,1,317.5
966,Ca,20,2,317.93
967,Th,90,2,318.02
968,Nb,41,2,318.03
969,Ca,20,2,318.13
970,Er,68,2,318.19
971,V,23,1,318.34
972,V,23,1,318.4
973,V,23,1,318.54
974,V,23,2,318.85
975,Nb,41,2,319.11
976,Yb,70,2,319.29
977,Mo,42,1,319.4
978,Hf,72,2,319.42
979,Nb,41,2,319.5
980,Tc,43,2,319.52
981,Y,39,2,319.56
982,Lu,71,2,319.81
983,Pu,94,2,319.85
984,Ne,10,2,319.86
985,Y,39,2,320.03
986,Ti,22,2,320.25
987,Y,39,2,320.33
988,Nb,41,2,320.63
989,Tc,43,2,321.2
990,Zr,40,2,321.42
991,Nb,41,2,321.56
992,Ti,22,2,321.71
993,Tb,65,2,321.89
994,Tb,65,2,322.0
995,Ir,77,1,322.08
996,Pu,94,2,322.09
997,Ti,22,2,322.28
998,Pu,94,2,322.49
999,Nb,41,2,322.55
1000,Th,90,2,322.9
1001,Er,68,2,323.06
1002,Zr,40,2,323.17
1003,Pu,94,2,323.26
1004,Li,3,1,323.27
1005,Ti,22,2,323.45
1006,Nb,41,2,323.64
1007,Ti,22,2,323.66
1008,Tm,69,2,323.68
1009,Tc,43,2,323.7
1010,Th,90,2,323.81
1011,Ti,22,2,323.9
1012,Tm,69,2,324.02
1013,Ti,22,2,324.2
1014,Y,39,2,324.23
1015,Pd,46,1,324.27
1016,Pu,94,1,324.42
1017,Pu,94,2,324.52
1018,Cu,29,1,324.75
1019,Ti,22,2,324.86
1020,Pd,46,1,325.16
1021,Pu,94,1,325.21
1022,Cd,48,1,325.25
1023,Ti,22,2,325.29
1024,Nb,41,2,325.41
1025,Lu,71,2,325.43
1026,In,49,1,325.61
1027,In,49,1,325.86
1028,Pd,46,1,325.88
1029,Pu,94,2,326.05
1030,Ac,89,2,326.09
1031,Cd,48,1,326.11
1032,Ti,22,2,326.16
1033,Sn,50,1,326.23
1034,Er,68,2,326.48
1035,V,23,2,326.77
