,ElemSymbol,AtNum,Charge,Wavelength
1859,Pm,61,1,477.35
1860,Mn,25,1,478.34
1861,Cl,17,2,479.46
1862,Pm,61,1,479.9
1863,Cd,48,1,479.99
1864,Pm,61,1,480.14
1865,Zn,30,1,481.05
1866,Pm,61,1,481.2
1867,Tc,43,1,482.07
1868,Mn,25,1,482.35
1869,Cs,55,2,483.02
1870,Kr,36,2,483.21
1871,Pm,61,1,483.77
1872,Xe,54,2,484.43
1873,Kr,36,2,484.66
1874,Tc,43,1,485.36
1875,Pm,61,1,486.07
1876,H,1,1,486.14
1877,Pm,61,1,486.57
1878,Tc,43,1,486.67
1879,Y,39,2,488.37
1880,Nd,60,1,488.38
1881,Fe,26,1,489.08
1882,Fe,26,1,489.15
1883,Tc,43,1,489.19
1884,Pm,61,1,489.25
1885,Cl,17,2,489.68
1886,Nd,60,1,489.69
1887,La,57,2,489.99
1888,Ba,56,2,489.99
1889,Y,39,2,490.01
1890,Fe,26,1,492.05
1891,Nd,60,1,492.45
1892,Pm,61,1,493.3
1893,Ba,56,2,493.41
1894,Nd,60,1,494.48
1895,Cs,55,2,495.29
1896,Nd,60,1,495.48
1897,Fe,26,1,495.73
1898,Fe,26,1,495.76
1899,Pm,61,1,495.95
1900,Ti,22,2,498.14
1901,Ti,22,1,498.17
1902,Pm,61,1,499.71
1903,Tm,69,2,503.42
1904,Pr,59,2,503.44
1905,Cs,55,2,504.38
1906,C,6,1,505.22
1907,W,74,1,505.33
1908,Pm,61,1,505.83
1909,Xe,54,2,508.06
1910,Cd,48,1,508.58
1911,Pm,61,1,509.48
1912,Tc,43,1,509.63
1913,Pm,61,1,510.08
1914,Cu,29,1,510.55
1915,La,57,2,511.46
1916,La,57,2,512.3
1917,Pm,61,1,512.73
1918,Pr,59,2,512.95
1919,C,6,2,514.52
1920,Pm,61,1,514.63
1921,Cu,29,1,515.32
1922,Pm,61,2,515.39
1923,Mg,12,1,516.73
1924,Pm,61,2,516.97
1925,Pm,61,2,517.16
1926,Mg,12,1,517.27
1927,La,57,2,518.34
1928,Mg,12,1,518.36
1929,Pr,59,2,519.13
1930,Pm,61,2,519.4
1931,Cr,24,1,520.45
1932,Y,39,2,520.57
1933,Cr,24,1,520.6
1934,Pm,61,2,520.81
1935,Cr,24,1,520.84
1936,Ag,47,1,520.91
1937,Cl,17,2,521.79
1938,Cu,29,1,521.82
1939,Cs,55,2,522.7
1940,Pm,61,2,523.63
1941,Pm,61,2,523.67
1942,Pm,61,2,524.63
1943,Cs,55,2,524.94
1944,Ca,20,1,526.17
1945,Ca,20,1,526.22
1946,Ca,20,1,526.42
1947,Ca,20,1,526.56
1948,Ca,20,1,527.03
1949,Pm,61,2,527.06
1950,Xe,54,2,529.22
1951,Xe,54,2,531.39
1952,Xe,54,2,533.93
1953,Ca,20,1,534.95
1954,Yb,70,2,535.29
1955,K,19,1,535.96
1956,Fe,26,1,538.34
1957,Cr,24,1,540.98
1958,Xe,54,2,541.92
1959,Cl,17,2,542.32
1960,Xe,54,2,543.9
1961,Yb,70,2,544.93
1962,S,16,2,545.38
1963,Hg,80,1,546.08
1964,Ag,47,1,546.55
1965,Xe,54,2,547.26
1966,Mo,42,1,550.65
1967,Ba,56,1,551.9
1968,U,92,2,552.78
1969,Mg,12,1,552.84
1970,Ba,56,1,553.55
1971,Pm,61,2,554.61
1972,Cs,55,2,556.3
1973,Kr,36,1,557.03
1974,Pm,61,2,557.6
1975,Ca,20,1,558.2
1976,Ca,20,1,558.88
1977,Tc,43,1,558.9
1978,Ca,20,1,559.45
1979,Ca,20,1,559.85
1980,Ca,20,1,560.13
1981,Ca,20,1,560.28
1982,Ra,88,1,566.08
1983,Na,11,1,568.26
1984,Na,11,1,568.82
1985,Pu,94,1,571.24
1986,Cu,29,1,578.21
1987,K,19,1,578.24
1988,K,19,1,580.18
1989,K,19,1,581.21
1990,Eu,63,2,581.87
1991,Pm,61,2,582.39
1992,Cs,55,2,583.11
1993,K,19,1,583.19
1994,Ca,20,1,585.74
1995,Pm,61,2,586.88
1996,Kr,36,1,587.09
1997,He,2,1,587.56
1998,C,6,2,588.98
1999,Na,11,1,589.0
2000,Na,11,1,589.59
2001,Ac,89,2,591.08
2002,Cs,55,2,592.56
2003,Pm,61,2,594.65
2004,Xe,54,2,597.65
2005,Cs,55,1,601.05
2006,Ba,56,1,601.95
2007,Xe,54,2,603.62
2008,Eu,63,2,604.95
2009,Xe,54,2,605.12
2010,Xe,54,2,609.76
2011,Pm,61,1,610.02
2012,Ca,20,1,610.27
2013,Li,3,1,610.35
2014,Li,3,1,610.36
2015,Ba,56,1,611.08
2016,Ca,20,1,612.22
2017,Ca,20,1,616.13
2018,Ca,20,1,616.22
2019,Ca,20,1,616.38
2020,Ca,20,1,616.91
2021,Ca,20,1,616.96
2022,Pu,94,1,619.28
2023,Ra,88,1,620.03
2024,Lu,71,2,622.19
2025,Lu,71,2,623.54
2026,Lu,71,2,624.23
2027,Pu,94,1,630.47
2028,Ba,56,1,634.17
2029,Br,35,1,635.07
2030,Cs,55,1,635.46
2031,Ac,89,1,635.99
2032,Ga,31,1,639.66
2033,Ga,31,1,641.34
2034,Pm,61,1,643.19
2035,Ca,20,1,643.91
2036,Pu,94,1,644.98
2037,Ca,20,1,644.98
2038,Ba,56,1,645.09
2039,Ca,20,1,646.26
2040,Lu,71,2,646.31
2041,Ca,20,1,647.17
2042,Ba,56,1,648.29
2043,Pu,94,1,648.67
2044,Ca,20,1,649.38
2045,Ba,56,2,649.69
2046,Ba,56,1,649.88
2047,Ca,20,1,649.96
2048,Pm,61,1,652.04
2049,Pu,94,1,653.53
2050,Pu,94,1,654.42
2051,H,1,1,656.28
2052,K,19,2,659.5
2053,Xe,54,2,659.5
2054,Ba,56,1,659.53
2055,Pm,61,1,659.82
2056,Pu,94,1,660.9
2057,Pm,61,2,665.9
2058,Li,3,1,670.78
2059,Li,3,1,670.79
2060,Cs,55,1,672.33
2061,Pm,61,2,677.23
2062,Xe,54,2,680.57
2063,F,9,1,685.6
2064,Ne,10,1,692.95
2065,Cs,55,2,695.55
2066,Ar,18,1,696.54
2067,Cs,55,1,698.35
2068,Xe,54,2,699.09
2069,Ne,10,1,702.4
2070,Ne,10,1,703.24
2071,F,9,1,703.75
2072,Rn,86,1,705.54
2073,Ar,18,1,706.72
2074,F,9,1,712.79
2075,Ra,88,1,714.12
2076,Ca,20,1,714.82
2077,Ne,10,1,717.39
2078,Fr,87,1,717.99
2079,Ca,20,1,720.22
2080,C,6,2,723.13
2081,C,6,2,723.64
2082,Ne,10,1,724.52
2083,Pu,94,1,725.81
2084,Rn,86,1,726.81
2085,Ac,89,1,729.04
2086,Eu,63,2,730.12
2087,Br,35,1,734.85
2088,Ar,18,1,738.4
2089,N,7,1,744.23
2090,Rn,86,1,745.0
2091,N,7,1,746.83
2092,Ne,10,1,748.89
2093,Ar,18,1,750.39
2094,Ar,18,1,751.47
2095,Ne,10,1,753.58
2096,Pu,94,1,757.29
2097,Kr,36,1,760.15
2098,Ar,18,1,763.51
2099,K,19,1,766.49
2100,Kr,36,1,769.45
2101,K,19,1,769.9
2102,Ar,18,1,772.38
2103,Ar,18,1,772.42
2104,O,8,1,777.19
2105,O,8,1,777.42
2106,O,8,1,777.54
2107,Rb,37,1,780.03
2108,Rn,86,1,780.98
2109,Cl,17,1,787.82
2110,Ar,18,1,794.82
2111,Po,84,1,796.26
2112,Ar,18,1,800.62
2113,Ar,18,1,801.48
2114,Ra,88,2,801.97
2115,Kr,36,1,805.95
2116,Rn,86,1,809.95
2117,Ar,18,1,810.37
2118,Kr,36,1,810.4
2119,Kr,36,1,811.29
2120,Ar,18,1,811.53
2121,Fr,87,1,816.94
2122,Na,11,1,818.33
2123,Kr,36,1,819.01
2124,Na,11,1,819.48
2125,Xe,54,1,823.16
2126,Be,4,1,825.41
2127,Kr,36,1,826.32
2128,Ar,18,1,826.45
2129,Rn,86,1,827.1
2130,Xe,54,1,828.01
2131,Kr,36,1,828.11
2132,Kr,36,1,829.81
2133,Ne,10,1,830.03
2134,Pu,94,1,830.96
2135,Ga,31,1,831.19
2136,Cl,17,1,837.59
2137,Ne,10,1,837.76
2138,Ga,31,1,838.65
2139,Ga,31,1,838.93
2140,Ar,18,1,840.82
2141,Br,35,1,842.27
2142,Ar,18,1,842.46
2143,Cl,17,1,842.82
2144,O,8,1,844.62
2145,O,8,1,844.64
2146,O,8,1,844.68
2147,Br,35,1,845.27
2148,Ne,10,1,849.54
2149,Kr,36,1,850.89
2150,Cs,55,1,852.11
2151,Ar,18,1,852.14
2152,Cl,17,1,858.6
2153,Ne,10,1,859.13
2154,Rn,86,1,860.01
2155,Ne,10,1,863.46
2156,Ne,10,1,865.44
2157,Cs,55,1,876.14
2158,Kr,36,1,877.68
2159,Ne,10,1,878.06
2160,Ne,10,1,878.38
2161,Xe,54,1,881.94
2162,Ne,10,1,885.39
2163,Kr,36,1,892.87
2164,Cs,55,1,894.35
2165,Ar,18,1,912.3
2166,Cs,55,1,917.23
2167,Ar,18,1,922.45
2168,C,6,1,940.57
2169,Ga,31,1,958.94
2170,Ga,31,1,959.42
2171,Ar,18,1,965.78
2172,Kr,36,1,975.18
2173,Xe,54,1,992.32
2174,Cs,55,1,1002.44
2175,Cs,55,1,1012.36
2176,Kr,36,2,1022.15
2177,Ne,10,1,1114.3
2178,Ne,10,1,1117.75
2179,Ne,10,1,1152.27
2180,Kr,36,1,1181.94
2181,He,2,1,388.87
2182,He,2,1,587.58
2183,Li,3,1,323.26
2184,Be,4,2,234.86
2185,Be,4,2,467.34
2186,B,5,2,345.1
2187,C,6,1,396.84
2188,C,6,1,247.88
2189,N,7,2,444.7
2190,N,7,2,500.51
2191,N,7,1,746.84
2192,N,7,1,821.07
2193,O,8,1,822.18
2194,F,9,1,687.02
2195,F,9,1,690.25
2196,F,9,1,690.98
2197,F,9,1,696.64
2198,Mg,12,2,279.09
2199,Mg,12,2,279.81
2200,Mg,12,2,292.88
2201,Mg,12,2,293.67
2202,Mg,12,1,382.93
2203,Mg,12,1,383.2
2204,Mg,12,1,383.79
2205,Mg,12,1,389.19
2206,Mg,12,2,448.09
2207,Mg,12,1,518.37
2208,Al,13,2,281.64
2209,Al,13,1,308.21
2210,Al,13,1,308.23
2211,Al,13,1,308.24
2212,Al,13,1,309.29
2213,Al,13,1,309.31
2214,Al,13,1,394.41
2215,Si,14,1,243.51
2216,Si,14,1,288.17
2217,P,15,1,214.92
2218,P,15,1,253.57
2219,P,15,1,255.49
2220,S,16,2,545.4
2221,S,16,1,869.46
2222,S,16,1,921.29
2223,K,19,1,404.41
2224,K,19,1,769.89
2225,Ca,20,2,315.92
2226,Ca,20,2,317.96
2227,Ca,20,2,373.73
2228,Ca,20,2,393.0
2229,Ca,20,2,396.88
2230,Ti,22,2,321.7
2231,Ti,22,2,323.5
2232,V,23,1,411.18
2233,Cr,24,1,267.7
2234,Cr,24,1,428.98
2235,Mn,25,2,294.9
2236,Mn,25,1,403.06
2237,Fe,26,1,284.98
2238,Fe,26,1,302.06
2239,Fe,26,1,344.39
2240,Fe,26,1,347.56
2241,Co,27,1,345.37
2242,Co,27,1,351.03
2243,Ni,28,2,231.61
2244,Ni,28,1,352.44
2245,Cu,29,1,324.74
2246,Cu,29,1,324.76
2247,Cu,29,1,406.27
2248,Cu,29,1,510.53
