Identifier,Element,State,Wavelength,Aki,Ei,Ek,gi,gk
Fe I 427.18,Fe,I,427.18,22800000.0,1.485,4.386,9.0,11.0
Fe I 438.35,Fe,I,438.35,50000000.0,1.485,4.312,9.0,11.0
Fe I 440.48,Fe,I,440.48,27500000.0,1.557,4.371,7.0,9.0
Fe I 441.51,Fe,I,441.51,11900000.0,1.608,4.415,5.0,7.0
Fe I 489.15,Fe,I,489.15,30800000.0,2.851,5.385,9.0,7.0
Fe I 492.05,Fe,I,492.05,35800000.0,2.833,5.352,11.0,9.0
Fe I 495.76,Fe,I,495.76,42200000.0,2.808,5.308,13.0,11.0
Fe I 538.34,Fe,I,538.34,78100000.0,4.312,6.615,11.0,13.0
Co II 241.62,Co,II,241.62,300000000.0,3.406,8.535,11.0,9.0
Co I 345.37,Co,I,345.37,110000000.0,0.432,4.021,10.0,12.0
Co I 351.03,Co,I,351.03,3800000.0,0.101,3.632,8.0,8.0
Ni II 231.61,Ni,II,231.61,288000000.0,1.041,6.392,10.0,8.0
Ni I 301.20,Ni,I,301.2,130000000.0,0.423,4.538,5.0,5.0
Ni I 341.48,Ni,I,341.48,55000000.0,0.025,3.655,7.0,9.0
Ni I 349.30,Ni,I,349.3,98000000.0,0.109,3.658,5.0,3.0
Ni I 351.50,Ni,I,351.5,42000000.0,0.109,3.635,5.0,7.0
Ni I 352.44,Ni,I,352.44,100000000.0,0.025,3.542,7.0,5.0
Ni I 361.94,Ni,I,361.94,66000000.0,0.423,3.847,5.0,7.0
Cu I 282.44,Cu,I,282.44,7800000.0,1.389,5.777,6.0,6.0
Cu I 296.12,Cu,I,296.12,3760000.0,1.389,5.575,6.0,8.0
Cu I 324.74,Cu,I,324.74,140000000.0,0.0,3.817,2.0,4.0
Cu I 324.76,Cu,I,324.76,139500000.0,0.0,3.817,2.0,4.0
Cu I 327.40,Cu,I,327.4,138000000.0,0.0,3.786,2.0,2.0
Cu I 406.27,Cu,I,406.27,21000000.0,3.817,6.868,4.0,6.0
Cu I 510.53,Cu,I,510.53,2000000.0,1.389,3.817,6.0,4.0
Cu I 515.29,Cu,I,515.29,60000000.0,3.786,6.191,2.0,4.0
Cu I 521.83,Cu,I,521.83,75000000.0,3.817,6.192,4.0,6.0
Cu I 578.18,Cu,I,578.18,1650000.0,1.642,3.786,4.0,2.0
Zn I 330.25,Zn,I,330.25,107000000.0,4.03,7.783,,
Zn I 334.50,Zn,I,334.5,150000000.0,4.0782,7.7839,,
Zn I 472.22,Zn,I,472.22,45800000.0,4.03,6.655,,
Zn I 481.06,Zn,I,481.06,70000000.0,4.078,6.655,,
Ga I 287.44,Ga,I,287.44,117000000.0,0.0,4.312,2.0,4.0
Ga I 294.37,Ga,I,294.37,134000000.0,0.102,4.313,4.0,6.0
Ga I 294.38,Ga,I,294.38,134000000.0,0.102,4.313,4.0,6.0
Ga I 403.32,Ga,I,403.32,48500000.0,0.0,3.073,2.0,2.0
Ga I 417.20,Ga,I,417.2,94500000.0,0.102,3.073,4.0,2.0
Ge I 265.14,Ge,I,265.14,200000000.0,0.175,4.85,5.0,5.0
Ge I 270.98,Ge,I,270.98,280000000.0,0.069,4.643,3.0,1.0
Ge I 303.92,Ge,I,303.92,280000000.0,0.883,4.962,5.0,3.0
Ge I 422.68,Ge,I,422.68,21000000.0,2.029,4.962,1.0,3.0
Ge I 468.60,Ge,I,468.6,9500000.0,2.029,4.674,1.0,3.0
As I 234.98,As,I,234.98,1290000000.0,1.313,6.588,,
As I 278.02,As,I,278.02,1490000000.0,2.3122,6.7707,,
As I 286.04,As,I,286.04,1660000000.0,2.255,6.5884,,
,Se,,,,,,,
Br I 827.20,Br,I,827.2,,,,,
,Kr,,,,,,,
Rb I 780.03,Rb,I,780.03,38100000.0,17.8483,19.4526,5.0,7.0
Sr II 407.78,Sr,II,407.78,141000000.0,0.0,3.04,2.0,4.0
Sr II 421.55,Sr,II,421.55,126000000.0,0.0,2.94,2.0,2.0
Y II 371.03,Y,II,371.03,155000000.0,0.18,3.521,,
Y I 398.80,Y,I,398.8,8602000.0,1.408,4.517,4.0,6.0
Y I 467.49,Y,I,467.49,13229000.0,2.374,5.023,6.0,6.0
Zr I 362.39,Zr,I,362.39,38100000.0,0.0,3.491,0.0,7.0
Zr I 397.76,Zr,I,397.76,13500000.0,0.0,4.116,0.0,7.0
Zr I 410.76,Zr,I,410.76,47600000.0,0.0,4.5,0.0,5.0
Zr I 419.91,Zr,I,419.91,23400000.0,0.0,3.585,0.0,5.0
Zr I 436.65,Zr,I,436.65,41600000.0,0.0,4.205,0.0,7.0
Zr I 450.72,Zr,I,450.72,24400000.0,0.0,3.293,0.0,5.0
Zr I 468.79,Zr,I,468.79,82800000.0,0.0,3.374,0.0,13.0
Zr I 471.01,Zr,I,471.01,64000000.0,0.0,3.319,0.0,11.0
Zr I 473.25,Zr,I,473.25,13800000.0,0.0,3.252,0.0,7.0
Zr I 477.25,Zr,I,477.25,45900000.0,0.0,3.22,0.0,7.0
Zr I 480.59,Zr,I,480.59,12200000.0,0.0,3.266,0.0,9.0
Zr I 482.82,Zr,I,482.82,9360000.0,0.0,3.19,0.0,7.0
Zr I 507.03,Zr,I,507.03,9600000.0,0.0,4.303,0.0,11.0
Nb I 405.89,Nb,I,405.89,128280000.0,0.13,3.184,10.0,12.0
Mo I 384.40,Mo,I,384.4,3490000.0,2.597,5.822,,
Mo I 386.41,Mo,I,386.41,62300000.0,0.0,3.208,,
Mo I 550.60,Mo,I,550.6,36100000.0,1.335,3.586,,
Tc I 429.71,Tc,I,429.71,42000000.0,0.0,2.8845,6.0,8.0
Ru I 290.89,Ru,I,290.89,116600000.0,0.385,4.646,3.0,1.0
Rh I 339.68,Rh,I,339.68,64864000.0,0.0,3.649,10.0,10.0
Rh I 343.49,Rh,I,343.49,132780000.0,0.0,3.609,10.0,12.0
Pd I 340.46,Pd,I,340.46,133590000.0,0.814,4.454,7.0,9.0
Pd I 351.69,Pd,I,351.69,103440000.0,0.961,4.486,5.0,3.0
Ag I 328.08,Ag,I,328.08,140000000.0,0.0,3.778,2.0,4.0
Ag I 338.31,Ag,I,338.31,130000000.0,0.0,3.664,2.0,2.0
Ag I 520.93,Ag,I,520.93,75000000.0,3.664,6.043,2.0,4.0
Ag I 546.57,Ag,I,546.57,86000000.0,3.778,6.046,4.0,6.0
Cd I 228.80,Cd,I,228.8,530000000.0,0.0,5.417,1.0,3.0
Cd I 326.10,Cd,I,326.1,406000.0,0.0,3.801,1.0,3.0
Cd I 361.05,Cd,I,361.05,130000000.0,3.946,7.379,5.0,7.0
Cd I 508.56,Cd,I,508.56,56000000.0,3.946,6.383,5.0,3.0
In I 451.13,In,I,451.13,89000000.0,0.2743,3.0219,4.0,2.0
Sn I 284.00,Sn,I,284.0,170000000.0,0.425,4.789,5.0,5.0
Sn I 284.02,Sn,I,284.02,170000000.0,0.425,4.789,5.0,5.0
Sn I 286.35,Sn,I,286.35,54000000.0,0.0,4.329,1.0,3.0
Sn I 303.43,Sn,I,303.43,200000000.0,0.21,4.295,3.0,1.0
Sn I 317.52,Sn,I,317.52,100000000.0,0.425,4.329,5.0,3.0
Sn I 326.25,Sn,I,326.25,270000000.0,1.068,4.867,5.0,3.0
Sn I 380.12,Sn,I,380.12,28000000.0,1.068,4.329,5.0,3.0
Sb I 259.80,Sb,I,259.8,21000000.0,1.055,5.826,4.0,2.0
Sb I 323.25,Sb,I,323.25,30700000.0,2.289,6.124,4.0,4.0
Te I 238.34,Te,I,238.34,40400000.0,0.584,5.784,1.0,3.0
Te I 238.59,Te,I,238.59,80800000.0,0.589,5.784,3.0,3.0
Te I 253.08,Te,I,253.08,1090000.0,0.589,5.487,3.0,5.0
I I 393.36,I,I,393.36,,,,,
I I 746.90,I,I,746.9,1.0,8.142,9.8016,8.0,10.0
,Xe,,,,,,,
Cs I 852.11,Cs,I,852.11,32591000.0,0.0,1.455,2.0,4.0
Ba I 389.19,Ba,I,389.19,217000000.0,2.512,5.697,2.0,4.0
Ba II 413.07,Ba,II,413.07,218000000.0,2.722,5.722,4.0,6.0
Ba II 455.39,Ba,II,455.39,111000000.0,0.0,2.722,2.0,4.0
Ba II 490.00,Ba,II,490.0,104000000.0,2.722,5.251,4.0,2.0
Ba I 553.55,Ba,I,553.55,119000000.0,0.0,2.239,1.0,3.0
La I 394.91,La,I,394.91,122000000.0,0.403,3.542,,
La II 333.75,La,II,333.75,111770000.0,0.403,4.117,7.0,5.0
